time[s], wr_x[mm], wr_y[mm] 
5.0773,752.8155,350.6325
5.0874,753.9209,351.9517
5.0972,755.081,353.2985
5.1074,756.1309,354.4093
5.1171,757.2063,355.5552
5.1274,758.2188,356.9778
5.1471,759.3093,358.2791
5.1482,760.3785,359.4795
5.1599,761.4305,360.755
5.1906,763.6558,363.6865
5.1915,764.8674,365.0658
5.1975,765.9615,366.2542
5.2219,766.9499,367.4142
5.2229,767.8664,368.722
5.2272,768.7971,370.115
5.2531,769.7836,371.5296
5.2539,770.8533,372.7714
5.2576,772.0818,374.0066
5.2672,773.1434,375.3319
5.2849,774.2013,376.6937
5.2871,775.2432,378.0761
5.2974,776.3077,379.1869
5.3161,777.3023,380.3309
5.3173,778.2473,381.5667
5.3273,779.0571,382.8169
5.3479,779.8889,384.2282
5.3487,781.0019,385.4934
5.3574,782.0605,386.832
5.3791,783.1792,388.0837
5.3801,784.2917,389.3002
5.3871,785.2299,390.6244
5.411,786.0938,392.0577
5.4119,787.0046,393.5085
5.4174,787.9678,394.8559
5.4454,788.9166,396.1503
5.4464,789.9111,397.3243
5.4473,790.7606,398.7653
5.4575,791.6793,400.2327
5.473,792.7314,401.7236
5.4774,793.7012,403.1741
5.4872,794.6115,404.463
5.5044,795.6805,405.69
5.5071,796.3722,407.1131
5.5175,797.2868,408.4697
5.5375,798.1978,409.6306
5.5386,799.1065,410.7872
5.5472,799.9584,412.1092
5.5699,800.9152,413.4953
5.5709,801.8363,414.9292
5.5775,802.7267,416.3441
5.6009,803.6908,417.5516
5.602,804.6288,418.8805
5.6072,805.541,420.2866
5.6327,806.4584,421.6712
5.6345,807.2564,423.0429
5.6373,808.1288,424.3868
5.6473,809.1252,425.7208
5.6664,810.0787,427.0589
5.6673,811.0372,428.3399
5.6774,811.8764,429.6845
5.6942,812.724,431.1373
5.6974,813.7547,432.6357
5.7072,814.8179,434.0835
5.7263,815.6595,435.3584
5.7271,816.5137,436.6214
5.7403,817.3429,438.016
5.7573,818.2053,439.4998
5.7583,819.1907,440.9254
5.7672,820.1245,442.2964
5.7889,821.0051,443.6867
5.7897,821.9422,445.0945
5.7975,822.7418,446.58
5.8199,823.6008,448.1383
5.821,824.1095,449.2448
5.8271,824.9903,450.5603
5.8521,825.9613,451.9528
5.8531,827.0747,453.5568
5.8573,827.895,455.0743
5.8672,828.6313,456.7012
5.8815,829.4678,458.0546
5.8872,830.3547,459.354
5.8974,831.2501,460.8138
5.9146,832.0211,462.273
5.9174,832.7797,463.7104
5.9272,833.6069,465.1709
5.9496,834.4666,466.6003
5.9504,835.2784,468.004
5.9574,836.007,469.4031
5.9778,836.8073,470.8771
5.979,837.5649,472.3724
5.9872,838.4386,473.706
6.0096,839.2891,475.0794
6.0105,840.0393,476.5653
6.0174,840.8783,478.0363
6.0446,841.6803,479.638
6.0456,842.4909,481.0924
6.047,843.3207,482.5189
6.0695,844.0804,483.9388
6.0703,844.7538,485.2511
6.0775,845.4971,486.7011
6.1005,846.3444,488.2691
6.1015,847.0736,489.6216
6.1072,848.0941,491.1875
6.1322,848.8622,492.5779
6.133,849.6212,494.0689
6.1375,850.3652,495.6098
6.1473,851.136,497.0951
6.1592,851.933,498.4887
6.1671,852.7199,499.9028
6.1773,853.5523,501.2434
6.1872,854.3112,502.6825
6.1973,854.9796,504.2591
6.2071,855.7368,505.8625
6.2176,856.5248,507.3187
6.2272,857.4036,508.7561
6.2374,858.2339,510.2
6.2471,858.9537,511.797
6.2574,859.7336,513.3865
6.2671,860.5471,514.7875
6.287,861.3387,516.1671
6.2878,862.0693,517.5909
6.2974,862.8352,519.1311
6.3172,863.5816,520.6848
6.3182,864.4124,522.2247
6.3272,865.1712,523.6771
6.3512,865.9093,525.1726
6.352,866.6874,526.7335
6.3575,867.4334,528.3558
6.3824,868.2074,529.9648
6.3835,868.9903,531.4108
6.3872,869.7439,532.7961
6.3974,870.3947,534.2593
6.4139,871.0584,535.8407
6.4175,871.7745,537.4095
6.4273,872.506,539.0319
6.4453,873.3043,540.5803
6.4471,874.0206,542.0655
6.4575,874.7264,543.5116
6.4765,875.3752,545.0179
6.4775,876.007,546.5513
6.4871,876.6558,548.0769
6.5114,877.3917,549.5575
6.5122,878.1387,551.0799
6.5174,878.7398,552.6914
6.5392,879.4261,554.304
6.5402,880.1602,556.039
6.5471,880.8837,557.592
6.5843,882.1766,560.5341
6.5851,882.7225,562.1617
6.5875,883.3062,563.8394
6.5971,884.0916,565.3493
6.6156,884.7379,566.8049
6.617,885.3182,568.2884
6.6272,885.9279,569.8118
6.6467,886.4698,571.3725
6.6476,887.1955,572.8118
6.6571,887.8375,574.1263
6.6782,888.4346,575.497
6.679,889.0181,576.9394
6.6874,889.4958,578.5035
6.7095,890.0728,580.1555
6.7105,890.6806,581.6424
6.7171,891.3691,583.0156
6.7407,892.0737,584.5372
6.7415,892.6948,586.0588
6.7475,893.3337,587.6317
6.7732,893.8118,589.2417
6.7742,894.4438,590.7402
6.7771,895.1108,592.2403
6.7872,895.7308,593.7733
6.8042,896.403,595.2061
6.8073,896.7673,596.811
6.8171,897.2271,598.4554
6.8358,897.9021,600.0727
6.837,898.6179,601.6691
6.8476,899.223,603.2125
6.8671,899.7621,604.7654
6.8681,900.2584,606.396
6.8771,900.8247,607.9269
6.8982,901.5075,609.3991
6.8991,901.9923,610.9199
6.9073,902.4962,612.4656
6.9288,903.0872,614.044
6.9298,903.6038,615.6578
6.937,904.2301,617.1851
6.96,904.7974,618.6502
6.9608,905.3203,620.2059
6.9673,905.8373,621.8446
6.9912,906.3961,623.4206
6.9922,906.8412,624.9709
6.9971,907.3113,626.5013
7.023,907.8165,627.9313
7.0239,908.3179,629.5305
7.0303,908.8315,631.191
7.0372,909.3193,632.8528
7.0541,909.856,634.4239
7.0571,910.4072,635.9577
7.0674,910.9754,637.565
7.0843,911.4964,639.1507
7.0874,911.95,640.7642
7.0976,912.451,642.3546
7.1169,913.0227,643.9019
7.1177,913.6383,645.5002
7.1274,914.2051,647.0847
7.1482,914.6876,648.7307
7.1493,915.1997,650.4476
7.1572,915.741,652.1018
7.18,916.3175,653.6703
7.1808,916.7994,655.1582
7.1874,917.2735,656.7286
7.2111,917.6724,658.4186
7.212,918.1327,660.1289
7.2172,918.6171,661.7098
7.2428,919.0776,663.2633
7.2436,919.5193,664.8035
7.2474,919.9461,666.4413
7.2571,920.3349,668.1234
7.2738,920.8283,669.712
7.2771,921.3038,671.2447
7.2872,921.7264,672.813
7.3066,922.1826,674.3657
7.3076,922.5925,675.9692
7.3172,923.0161,677.5805
7.3382,923.472,679.2077
7.3391,923.9396,680.7831
7.3474,924.3829,682.3449
7.3693,924.7949,683.9099
7.3704,925.234,685.4297
7.3772,925.6285,687.0739
7.4008,926.056,688.7513
7.4016,926.5667,690.2861
7.4075,926.9977,691.8022
7.417,927.3479,693.3932
7.4274,927.7006,695.1078
7.4373,928.1369,696.8545
7.4507,928.6096,698.4005
7.4571,929.0811,699.846
7.4674,929.4177,701.4577
7.4772,929.6579,703.1441
7.4873,930.0083,704.864
7.4973,930.4731,706.606
7.5077,930.9631,708.1829
7.525,931.3709,709.8337
7.5274,931.7245,711.5444
7.5372,932.0191,713.3084
7.5474,932.4286,715.0024
7.5693,932.9034,716.5658
7.5705,933.2647,718.1711
7.5774,933.6111,719.8648
7.6028,933.8929,721.5794
7.6035,934.2084,723.2208
7.6072,934.5881,724.8435
7.6311,934.9348,726.4105
7.6321,935.2941,728.0443
7.6371,935.5608,729.7282
7.6627,935.8907,731.3792
7.6636,936.2798,733.0868
7.6674,936.714,734.7552
7.6793,937.1429,736.4047
7.6941,937.5214,737.969
7.6971,937.7847,739.591
7.7073,937.9373,741.3744
7.7252,938.1728,743.0087
7.7272,938.5318,744.4784
7.7373,938.9484,746.0505
7.7568,939.1875,747.7196
7.7576,939.4581,749.5525
7.7674,939.6488,751.346
7.7877,939.9431,752.9248
7.7887,940.3987,754.5037
7.7972,940.7285,756.1418
7.823,941.0653,757.8256
7.8238,941.3322,759.5437
7.8274,941.6339,761.197
7.8371,941.9536,762.7319
7.8541,942.2393,764.3387
7.8571,942.4924,766.0919
7.8674,942.6687,767.8066
7.8853,942.9848,769.4896
7.8872,943.2812,771.2122
7.897,943.51,772.8401
7.9167,943.9048,774.464
7.9175,944.1833,776.0523
7.9273,944.439,777.6953
7.9478,944.6948,779.3549
7.9488,944.9844,781.0678
7.9595,945.2079,782.6361
7.9848,945.5429,784.1895
7.9856,945.8246,785.8304
7.9872,945.8998,787.5547
7.9981,946.1947,789.1533
8.016,946.4588,790.7046
8.0169,946.7956,792.2115
8.0274,947.0502,793.7364
8.0472,947.2006,795.5024
8.0482,947.3645,797.2967
8.0572,947.6127,798.8875
8.0788,947.9841,800.3586
8.0796,948.2272,801.9534
8.0875,948.3549,803.6051
8.1099,948.4748,805.3933
8.111,948.6439,807.1067
8.1172,948.97,808.7044
8.1413,949.1536,810.3264
8.1421,949.3346,812.0382
8.1473,949.4791,813.6709
8.1572,949.6931,815.3541
8.1784,949.8691,817.1259
8.1792,950.0756,818.8668
8.1875,950.2383,820.5189
8.2095,950.4026,822.1396
8.2106,950.6475,823.794
8.2172,950.7971,825.4684
8.2408,951.0429,827.0985
8.2416,951.2498,828.6922
8.2473,951.4571,830.2699
8.2749,951.5721,831.856
8.2758,951.5941,833.6349
8.277,951.746,835.3804
8.2875,951.9568,836.9627
8.3033,952.2429,838.5227
8.3074,952.3075,840.1784
8.3172,952.2373,841.9617
8.334,952.2711,843.6996
8.3372,952.414,845.2693
8.35,952.6638,846.7343
8.3723,952.7912,848.312
8.3734,952.8695,849.9684
8.3771,952.8769,851.6058
8.3874,953.0141,853.2523
8.4036,953.1362,854.8943
8.4074,953.1855,856.4963
8.4171,953.3094,858.0944
8.4352,953.3618,859.7263
8.437,953.4099,861.332
8.4485,953.5599,862.9568
8.4661,953.6711,864.6056
8.4672,953.6938,866.2513
8.4772,953.8492,867.8208
8.4978,953.9908,869.4272
8.4986,953.9455,871.1073
8.5074,954.0571,872.8457
8.5288,954.2026,874.4826
8.5299,954.3536,876.039
8.5371,954.5002,877.639
8.5604,954.4886,879.3548
8.5613,954.4002,881.1129
8.5675,954.5357,882.7581
8.5919,954.7455,884.3541
8.5929,954.7896,886.064
8.5971,954.7933,887.8288
8.6075,954.7265,889.5875
8.6173,954.7343,891.2839
8.6275,954.8252,892.9543
8.6372,954.8993,894.6133
8.6474,954.8883,896.3165
8.657,954.8406,898.0529
8.6672,954.8415,899.7444
8.6771,954.9175,901.3486
8.6873,954.9586,902.9688
8.713,954.9068,904.6354
8.714,954.9183,906.2376
8.7171,954.9314,907.9266
8.7415,954.9206,909.5915
8.7423,954.9236,911.2076
8.7474,954.9049,912.8285
8.757,954.9271,914.467
8.7674,954.9261,916.1642
8.7771,954.9091,917.888
8.7873,954.9181,919.5541
8.7972,954.9328,921.1133
8.8073,954.917,922.6613
8.8171,954.6771,924.348
8.8274,954.5116,926.0713
8.8515,954.3691,927.7287
8.8525,954.358,929.34
8.8599,954.3677,930.9342
8.8673,954.3204,932.5907
8.8882,954.1922,934.4075
8.8892,953.9804,936.165
8.8971,953.9835,937.7923
8.9199,954.0205,939.3671
8.9208,953.9413,940.9283
8.9301,953.8217,942.5685
8.9509,953.6488,944.2776
8.9519,953.5998,946.0159
8.9571,953.6273,947.6909
8.9824,953.6609,949.3455
8.9831,953.5483,951.0125
8.9873,953.4151,952.6283
9.0133,953.3514,954.282
9.0144,953.3228,955.9453
9.017,953.359,957.5551
9.0271,953.2646,959.1407
9.0446,953.181,960.7385
9.0472,953.034,962.3394
9.0571,952.9435,964.0522
9.0782,952.8487,965.7526
9.079,952.753,967.2873
9.0874,952.7816,968.843
9.1073,952.6402,970.4822
9.1084,952.4825,972.1377
9.1172,952.2163,973.9251
9.1389,952.0753,975.717
9.1398,952.0155,977.4121
9.1473,951.9161,979.0851
9.1702,951.6892,980.8038
9.1713,951.3855,982.474
9.1771,951.3095,984.0949
9.2007,951.2417,985.7583
9.2015,951.1948,987.4236
9.2074,951.0126,989.0766
9.2172,950.6824,990.7793
9.2422,950.4105,992.5666
9.2429,950.3147,994.3699
9.2481,950.2032,996.0943
9.2572,949.9101,997.7232
9.2737,949.751,999.2797
9.2772,949.5672,1000.9732
9.2874,949.3823,1002.7071
9.3045,949.2876,1004.2001
9.3074,949.1487,1005.7112
9.3172,949.0375,1007.3344
9.3362,948.7758,1009.0299
9.3371,948.5355,1010.7222
9.3475,948.3079,1012.2882
9.3669,948.1997,1013.841
9.3679,948.0028,1015.4305
9.3772,947.7509,1017.0814
9.406,947.2005,1020.4565
9.407,947.0213,1022.0834
9.4177,946.8335,1023.6528
9.4374,946.627,1025.2691
9.4384,946.3623,1026.8904
9.4471,946.0066,1028.5449
9.4687,945.6952,1030.2288
9.4695,945.3877,1031.8696
9.4774,945.274,1033.5082
9.5029,945.0261,1035.1118
9.5039,944.6572,1036.7685
9.5071,944.2677,1038.4498
9.5312,943.999,1040.1722
9.5319,943.8503,1041.7928
9.5372,943.6002,1043.352
9.5471,943.349,1044.9935
9.5575,943.0499,1046.7097
9.578,942.8431,1048.3422
9.579,942.6202,1049.9055
9.5871,942.3965,1051.3344
9.6095,942.1741,1052.8556
9.6102,941.8098,1054.4971
9.6174,941.4656,1056.1555
9.6405,941.3547,1057.7819
9.6416,941.1492,1059.3114
9.6479,940.8559,1060.8808
9.6719,940.5296,1062.5088
9.6727,940.2556,1064.1631
9.6773,940.051,1065.7721
9.6871,939.8136,1067.3928
9.7034,939.5121,1068.9524
9.7071,939.1921,1070.562
9.7173,938.8159,1072.1208
9.734,938.4806,1073.7382
9.7373,938.1262,1075.4293
9.7471,937.8593,1077.0788
9.7726,937.5741,1078.6713
9.7737,937.138,1080.2799
9.7773,936.7636,1081.8203
9.787,936.3112,1083.4224
9.8037,935.9802,1085.0304
9.8071,935.6983,1086.576
9.8174,935.3965,1088.0809
9.8348,935.0856,1089.6526
9.8372,934.5997,1091.2767
9.8472,934.3125,1093.015
9.8664,934.0811,1094.6883
9.8671,933.8051,1096.264
9.8773,933.4821,1097.8344
9.8975,933.0386,1099.4244
9.8985,932.5331,1101.0508
9.907,932.1799,1102.6194
9.9402,931.5706,1105.8272
9.941,931.1569,1107.4494
9.9474,930.7573,1109.0325
9.9702,930.4135,1110.6385
9.9713,930.1459,1112.2388
9.9772,929.7463,1113.8681
9.9874,929.2666,1115.4162
10.0068,928.8113,1116.9807
